Name,Hangzhou,Huzhou,Jiaxing,Jinhua,Lishui,Ningbo,Shaoxing,Taizhou,Wenzhou
N_182,5.63E-07,3.72E-06,5.42E-06,2.86E-06,9.98E-05,4.01E-06,9.63E-07,1.80E-06,0.99988083
HD0028264-ZZM20230275.result.fasta,0,0,0,0,0,0,0,0,1
ZZM2023-289.result.fasta,0,0,0,0,0,0,0,0,1
N_145,1.41E-06,0.000928345,8.89E-06,7.53E-06,0.000380796,3.91E-06,1.17E-06,3.16E-06,0.998664785
HD0028279-ZZM20230291.result.fasta,0,0,0,0,0,0,0,0,1
N_143,2.70E-05,0.039585426,0.000135521,0.000257111,0.005345078,5.30E-05,1.93E-05,5.73E-05,0.954520286
HD0028269-ZZM20230280.result.fasta,0,0,0,0,0,0,0,0,1
N_141,2.03E-05,0.865539742,0.000108203,0.00578289,0.036381756,2.82E-05,1.53E-05,0.00021103,0.091912564
HD0028181-ZZM20230007.result.fasta,0,0,0,0,1,0,0,0,0
HD0028198-ZZM20230024.result.fasta,0,1,0,0,0,0,0,0,0
HD0028284-ZZM2023321.result.fasta,0,0,0,1,0,0,0,0,0
N_155,3.96E-16,1.58E-09,0.999999998,6.39E-14,1.95E-12,2.67E-14,1.71E-14,4.06E-13,5.33E-11
HD0028208-ZZM20230036.result.fasta,0,1,0,0,0,0,0,0,0
HD0028210-ZZM20230040.result.fasta,0,0,1,0,0,0,0,0,0
HD0028214-ZZM20230044.result.fasta,0,0,1,0,0,0,0,0,0
HD0028220-ZZM20230050.result.fasta,0,0,1,0,0,0,0,0,0
HD0028225-ZZM20230055.result.fasta,0,0,1,0,0,0,0,0,0
HD0028227-ZZM20230057.result.fasta,0,0,1,0,0,0,0,0,0
N_151,2.91E-09,6.84E-08,0.999999747,2.28E-08,3.26E-08,1.16E-08,9.12E-09,4.82E-08,5.79E-08
HD0028215-ZZM20230045.result.fasta,0,0,1,0,0,0,0,0,0
HD0028228-ZZM20230058.result.fasta,0,0,1,0,0,0,0,0,0
N_179,1.32E-05,2.63E-05,3.81E-05,3.64E-05,8.06E-05,0.965526167,1.51E-05,5.56E-05,0.03420874
ZZM2023-169.result.fasta,0,0,0,0,0,1,0,0,0
N_177,3.72E-11,1.13E-10,1.47E-10,1.42E-10,3.07E-10,0.999999921,6.32E-11,3.84E-10,7.76E-08
ZZM2023-155.result.fasta,0,0,0,0,0,1,0,0,0
N_176,8.14E-09,8.47E-09,1.22E-08,1.61E-08,7.92E-09,0.99999985,7.42E-09,4.14E-08,4.87E-08
ZZM2023-162.result.fasta,0,0,0,0,0,1,0,0,0
N_175,1.05E-07,1.05E-07,1.53E-07,2.04E-07,1.00E-07,0.99999819,9.28E-08,4.95E-07,5.55E-07
ZZM2023-163.result.fasta,0,0,0,0,0,1,0,0,0
ZZM2023-166.result.fasta,0,0,0,0,0,1,0,0,0
N_170,1.20E-20,2.07E-19,1.86E-19,5.64E-19,1.61E-19,1,1.34E-19,1.70E-16,3.95E-18
